iter	Passed	Remaining
156	577	3099
157	579	3089
158	582	3079
159	585	3072
160	588	3064
161	590	3056
162	593	3047
163	596	3041
164	599	3032
165	601	3023
166	604	3014
167	606	3005
168	609	2997
169	612	2988
170	616	2987
171	618	2978
172	621	2970
173	624	2962
174	626	2953
175	629	2945
176	631	2937
177	634	2929
178	636	2920
179	639	2911
180	641	2903
181	644	2895
182	646	2887
183	649	2879
184	651	2871
185	654	2863
186	657	2856
187	659	2848
188	662	2841
189	664	2832
190	667	2825
191	669	2817
192	673	2815
193	675	2807
194	679	2803
195	681	2796
196	684	2789
197	686	2781
198	689	2776
199	691	2766
200	694	2759
201	696	2752
202	699	2744
203	701	2738
204	704	2732
205	707	2725
206	709	2718
207	712	2711
208	714	2704
209	717	2698
210	719	2690
211	722	2684
212	724	2676
213	726	2670
214	729	2664
215	732	2658
216	735	2653
217	737	2647
218	740	2640
219	743	2635
220	745	2628
221	748	2622
222	750	2615
223	753	2610
224	756	2604
225	759	2599
226	761	2593
227	764	2588
228	766	2582
229	769	2575
230	772	2571
231	774	2565
232	777	2559
233	780	2554
234	782	2548
235	785	2542
236	787	2536
237	790	2529
238	793	2525
239	795	2518
240	798	2513
241	801	2509
242	803	2503
243	806	2498
244	808	2492
245	811	2487
246	814	2482
247	817	2477
248	819	2471
249	821	2465
250	824	2460
251	827	2455
252	830	2450
253	832	2444
254	834	2439
255	837	2434
256	840	2428
257	843	2425
258	845	2419
259	848	2415
260	851	2410
261	853	2404
262	856	2399
263	858	2394
264	862	2391
265	864	2385
266	867	2381
267	870	2378
268	873	2374
269	876	2368
270	879	2366
271	882	2362
272	885	2357
273	888	2352
274	890	2347
275	892	2342
276	895	2336
277	898	2333
278	901	2328
279	903	2323
280	906	2319
281	908	2314
282	911	2309
283	914	2305
284	917	2301
285	920	2297
286	923	2293
287	925	2288
288	928	2283
289	930	2279
290	933	2273
291	935	2268
292	938	2264
293	940	2259
294	943	2255
295	945	2248
296	947	2243
297	950	2239
298	953	2235
299	956	2232
300	959	2227
301	962	2223
302	964	2219
303	967	2214
304	970	2210
305	972	2205
306	975	2201
307	977	2196
308	980	2192
309	982	2186
310	985	2182
311	987	2178
312	990	2173
313	992	2169
314	995	2164
315	997	2159
316	1000	2155
317	1003	2151
318	1005	2146
319	1007	2140
320	1009	2135
321	1012	2132
322	1015	2128
323	1017	2123
324	1020	2119
325	1023	2115
326	1025	2111
327	1028	2107
328	1031	2103
329	1033	2099
330	1036	2094
331	1038	2090
332	1041	2086
333	1043	2081
334	1047	2078
335	1050	2076
336	1052	2071
337	1057	2070
338	1061	2069
339	1064	2067
340	1067	2063
341	1071	2061
342	1075	2060
343	1078	2057
344	1081	2053
345	1084	2050
346	1087	2046
347	1090	2043
348	1093	2039
349	1096	2036
350	1099	2032
351	1101	2027
352	1105	2026
353	1107	2021
354	1112	2021
355	1115	2017
356	1118	2014
357	1121	2010
358	1125	2009
359	1127	2005
360	1132	2005
361	1137	2005
362	1140	2001
363	1143	1998
364	1146	1994
365	1150	1992
366	1154	1991
367	1157	1988
368	1161	1986
369	1167	1987
370	1171	1986
371	1175	1984
372	1178	1980
373	1181	1978
374	1184	1973
375	1187	1970
376	1190	1966
377	1192	1962
378	1195	1958
379	1198	1955
380	1201	1951
381	1203	1947
382	1206	1944
383	1209	1940
384	1212	1936
385	1214	1932
386	1217	1928
387	1220	1924
388	1223	1921
389	1225	1917
390	1228	1913
391	1231	1910
392	1233	1905
393	1236	1902
394	1239	1898
395	1242	1894
396	1245	1891
397	1250	1891
398	1253	1887
399	1255	1883
400	1258	1880
401	1261	1877
402	1264	1873
403	1268	1871
404	1270	1867
405	1274	1863
406	1277	1861
407	1280	1858
408	1283	1854
409	1286	1851
410	1289	1847
411	1291	1843
412	1295	1840
413	1297	1836
414	1300	1833
415	1303	1829
416	1305	1825
417	1308	1822
418	1311	1818
419	1314	1815
420	1317	1811
421	1319	1807
422	1323	1804
423	1325	1801
424	1328	1796
425	1331	1794
426	1334	1790
427	1337	1786
428	1339	1783
429	1342	1779
430	1345	1775
431	1347	1771
432	1350	1768
433	1353	1764
434	1356	1761
435	1358	1757
436	1361	1753
437	1364	1750
438	1366	1746
439	1369	1742
440	1371	1739
441	1374	1735
442	1377	1731
443	1379	1727
444	1382	1723
445	1384	1720
446	1387	1716
447	1390	1712
448	1392	1709
449	1395	1706
450	1398	1702
451	1401	1699
452	1404	1695
453	1407	1692
454	1410	1689
455	1413	1685
456	1415	1682
457	1418	1678
458	1421	1675
459	1424	1672
460	1427	1668
461	1429	1664
462	1432	1661
463	1434	1657
464	1437	1653
465	1440	1650
466	1442	1646
467	1445	1643
468	1448	1639
469	1451	1636
470	1454	1633
471	1456	1629
472	1459	1625
473	1461	1622
474	1465	1619
475	1468	1616
476	1470	1612
477	1473	1608
478	1475	1605
479	1478	1601
480	1481	1598
481	1483	1594
482	1486	1590
483	1489	1587
484	1491	1583
485	1493	1580
486	1497	1577
487	1499	1573
488	1502	1570
489	1504	1566
490	1507	1562
491	1510	1559
492	1512	1555
493	1515	1552
494	1517	1548
495	1520	1545
496	1523	1541
497	1526	1538
498	1529	1535
499	1532	1532
500	1534	1528
501	1537	1525
502	1540	1522
503	1543	1518
504	1546	1515
505	1549	1512
506	1551	1508
507	1554	1505
508	1557	1502
509	1559	1498
510	1562	1495
511	1565	1491
512	1567	1488
513	1570	1485
514	1573	1481
515	1575	1478
516	1578	1474
517	1581	1471
518	1584	1468
519	1587	1465
520	1589	1461
521	1592	1458
522	1594	1454
523	1597	1451
524	1599	1447
525	1601	1443
526	1605	1440
527	1607	1437
528	1610	1433
529	1612	1430
530	1615	1426
531	1618	1423
532	1621	1420
533	1623	1417
534	1626	1413
535	1629	1410
536	1632	1407
537	1634	1403
538	1636	1400
539	1641	1397
540	1643	1394
541	1645	1390
542	1648	1387
543	1650	1383
544	1653	1380
545	1656	1376
546	1658	1373
547	1661	1370
548	1664	1367
549	1667	1364
550	1670	1361
551	1673	1358
552	1676	1354
553	1678	1351
554	1685	1351
555	1688	1348
556	1691	1345
557	1694	1342
558	1699	1340
559	1703	1338
560	1706	1335
561	1709	1332
562	1712	1329
563	1714	1325
564	1717	1322
565	1719	1318
566	1723	1315
567	1726	1313
568	1729	1309
569	1731	1306
570	1734	1302
571	1736	1299
572	1739	1296
573	1741	1292
574	1744	1289
575	1746	1285
576	1749	1282
577	1752	1279
578	1755	1276
579	1758	1273
580	1760	1269
581	1763	1266
582	1766	1263
583	1768	1259
584	1771	1256
585	1774	1253
586	1776	1250
587	1779	1246
588	1782	1243
589	1784	1240
590	1787	1237
591	1790	1233
592	1792	1230
593	1795	1226
594	1798	1224
595	1801	1220
596	1804	1217
597	1806	1214
598	1809	1211
599	1812	1208
600	1815	1205
601	1817	1201
602	1820	1198
603	1823	1195
604	1826	1192
605	1828	1189
606	1831	1185
607	1834	1182
608	1836	1179
609	1839	1176
610	1842	1172
611	1844	1169
612	1847	1166
613	1849	1162
614	1852	1159
615	1855	1156
616	1858	1153
617	1860	1150
618	1863	1146
619	1866	1143
620	1868	1140
621	1871	1137
622	1874	1134
623	1876	1130
624	1879	1127
625	1882	1124
626	1885	1121
627	1887	1118
628	1890	1114
629	1892	1111
630	1895	1108
631	1898	1105
632	1901	1102
633	1903	1099
634	1906	1095
635	1909	1092
636	1912	1089
637	1914	1086
638	1917	1083
639	1919	1079
640	1922	1076
641	1925	1073
642	1927	1070
643	1930	1067
644	1933	1064
645	1935	1060
646	1938	1057
647	1941	1054
648	1944	1051
649	1946	1048
650	1949	1045
651	1951	1041
652	1954	1038
653	1956	1035
654	1959	1032
655	1961	1028
656	1963	1025
657	1967	1022
658	1969	1019
659	1972	1016
660	1975	1013
661	1977	1009
662	1980	1006
663	1983	1003
664	1986	1000
665	1988	997
666	1991	994
667	1994	991
668	1996	987
669	1999	984
670	2002	981
671	2004	978
672	2007	975
673	2010	972
674	2012	969
675	2015	965
676	2017	962
677	2020	959
678	2023	956
679	2026	953
680	2029	950
681	2031	947
682	2034	944
683	2037	941
684	2040	938
685	2042	935
686	2045	932
687	2048	928
688	2050	925
689	2053	922
690	2056	919
691	2058	916
692	2061	913
693	2064	910
694	2067	907
695	2069	903
696	2072	901
697	2075	897
698	2078	894
699	2080	891
700	2083	888
701	2085	885
702	2088	882
703	2091	879
704	2094	876
705	2096	873
706	2099	870
707	2101	866
708	2104	863
709	2107	860
710	2110	857
711	2112	854
712	2114	851
713	2117	848
714	2120	845
715	2122	841
716	2125	838
717	2128	835
718	2130	832
719	2133	829
720	2135	826
721	2138	823
722	2140	820
723	2143	817
724	2146	814
725	2148	811
726	2151	807
727	2154	804
728	2156	801
729	2159	798
730	2162	795
731	2165	792
732	2167	789
733	2170	786
734	2173	783
735	2175	780
736	2178	777
737	2181	774
738	2184	771
739	2187	768
740	2189	765
741	2192	762
742	2195	759
743	2197	756
744	2200	753
745	2203	750
746	2205	747
747	2208	743
748	2210	740
749	2215	738
750	2219	735
751	2222	733
752	2226	730
753	2230	727
754	2233	724
755	2236	721
756	2239	718
757	2242	716
758	2245	713
759	2250	710
760	2252	707
761	2255	704
762	2258	701
763	2261	698
764	2264	695
765	2266	692
766	2269	689
767	2272	686
768	2274	683
769	2277	680
770	2280	677
771	2283	674
772	2286	671
773	2288	668
774	2291	665
775	2294	662
776	2297	659
777	2299	656
778	2302	653
779	2305	650
780	2306	646
781	2309	643
782	2311	640
783	2314	637
784	2317	634
785	2320	631
786	2322	628
787	2326	625
788	2328	622
789	2331	619
790	2334	616
791	2338	614
792	2340	611
793	2343	608
794	2346	605
795	2349	602
796	2351	599
797	2354	596
798	2357	593
799	2360	590
800	2363	587
801	2365	584
802	2369	581
803	2374	578
804	2378	576
805	2381	573
806	2384	570
807	2387	567
808	2390	564
809	2393	561
810	2396	558
811	2399	555
812	2401	552
813	2404	549
814	2407	546
815	2410	543
816	2413	540
817	2415	537
818	2419	534
819	2422	531
820	2424	528
821	2427	525
822	2430	522
823	2433	519
824	2437	516
825	2439	513
826	2442	510
827	2445	508
828	2448	505
829	2451	502
830	2454	499
831	2455	495
832	2458	492
833	2460	489
834	2464	486
835	2466	483
836	2469	480
837	2472	478
838	2476	475
839	2480	472
840	2483	469
841	2487	466
842	2490	463
843	2495	461
844	2498	458
845	2500	455
846	2503	452
847	2506	449
848	2509	446
849	2512	443
850	2514	440
851	2517	437
852	2523	434
853	2526	432
854	2529	428
855	2532	426
856	2535	423
857	2538	420
858	2541	417
859	2544	414
860	2548	411
861	2551	408
862	2554	405
863	2556	402
864	2559	399
865	2562	396
866	2565	393
867	2570	390
868	2573	387
869	2576	385
870	2579	381
871	2582	379
872	2584	376
873	2587	373
874	2590	370
875	2593	367
876	2596	364
877	2599	361
878	2602	358
879	2605	355
880	2608	352
881	2611	349
882	2614	346
883	2617	343
884	2620	340
885	2623	337
886	2626	334
887	2628	331
888	2631	328
889	2634	325
890	2637	322
891	2640	319
892	2643	316
893	2647	313
894	2650	310
895	2653	307
896	2655	304
897	2658	302
898	2661	299
899	2664	296
900	2668	293
901	2671	290
902	2674	287
903	2677	284
904	2681	281
905	2683	278
906	2687	275
907	2689	272
908	2693	269
909	2696	266
910	2699	263
911	2700	260
912	2703	257
913	2707	254
914	2710	251
915	2713	248
916	2716	245
917	2719	242
918	2721	239
919	2724	236
920	2727	233
921	2730	231
922	2733	228
923	2735	225
924	2738	222
925	2741	219
926	2744	216
927	2747	213
928	2749	210
929	2752	207
930	2755	204
931	2758	201
932	2761	198
933	2764	195
934	2767	192
935	2771	189
936	2774	186
937	2778	183
938	2780	180
939	2783	177
940	2786	174
941	2789	171
942	2791	168
943	2795	165
944	2798	162
945	2801	159
946	2804	156
947	2807	153
948	2810	151
949	2812	148
950	2815	145
951	2818	142
952	2821	139
953	2824	136
954	2827	133
955	2830	130
956	2831	127
957	2834	124
958	2837	121
959	2840	118
960	2843	115
961	2846	112
962	2850	109
963	2852	106
964	2855	103
965	2857	100
966	2860	97
967	2863	94
968	2866	91
969	2869	88
970	2873	85
971	2876	82
972	2879	79
973	2882	76
974	2884	73
975	2887	71
976	2890	68
977	2893	65
978	2896	62
979	2899	59
980	2902	56
981	2905	53
982	2908	50
983	2911	47
984	2913	44
985	2917	41
986	2920	38
987	2930	35
988	2935	32
989	2941	29
990	2945	26
991	2949	23
992	2952	20
993	2955	17
994	2958	14
995	2963	11
996	2968	8
997	2971	5
998	2974	2
999	2976	0
